h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
081018700,1522.13958333,486.843598385,480
081018800,2151.3800738,637.319539937,271
081018900,1501.93360996,508.875237652,482
081019000,2110.21709007,563.445376598,433
081019200,2198.36858974,663.604791882,312
081019400,1537.66040956,446.71138252,586
081019600,1477.82032401,494.838907403,679
081019800,1602.8380744,561.35690974,457
081019900,1566.5078534,521.581243945,191
081020200,1865.66233766,665.49877336,308
081020400,1354.50293542,423.63596114,511
081020500,1768.48355263,641.110683466,304
081020600,1541.48192771,600.086006302,415
081020800,1196.36270191,394.478896016,681
081021200,1242.16558442,457.149224158,616
081021400,1086.85867621,381.774725771,1118
081021600,1043.8614098,310.962771049,837
081021900,3019.57407407,1111.17906801,108
081022001,1146.05754615,445.097986014,921
081022002,1250.57302118,486.565318923,897
081022900,3040.09375,1027.16588776,96
081023000,1569.61215933,510.415766111,477
081023200,1272.01079914,522.320028693,926
081023500,960.662490789,316.989985654,1357
081023600,1576.88222698,442.968267343,467
081023800,976.614259598,313.163046376,1094
081024000,1018.01257334,356.9964082,1193
081024300,1216.92950655,490.277063049,993
081024500,1204.19763314,505.369892359,845
081024600,3102.57971014,1243.07623548,69
081024700,1921.19471947,741.007123946,303
081024900,1072.52,411.517225828,650
081025100,956.151287554,322.225418414,932
081025301,1079.19281915,350.445731932,752
081025302,1246.82157676,370.865861806,482
081025400,1023.73079538,407.198836144,1471
081025500,1536.40350877,532.78563283,342
081025700,1735.08360129,608.420794259,311
081025800,2161.32678133,647.832361934,407
081025900,1221.01225115,470.593009416,653
081026000,1981.96857143,676.927887753,350
081026100,785.402735562,286.441313326,1316
081026200,2246.32063492,769.204242652,315
081026300,931.912809473,310.258966209,929
081026400,2166.68660287,619.68784964,418
081026500,1238.68539326,417.19506459,623
081026600,2146.13623188,620.4221592,345
081026700,1001.16723164,316.302608376,885
081026901,1177.81121751,364.60290317,731
081026902,1104.83584131,376.618769344,731
081027000,1990.6372549,672.919308453,408
081027100,847.697315436,287.842169606,1490
081027200,1591.39412998,445.331199239,477
081027300,815.18762089,300.598293184,1551
081027400,1846.52849741,650.987692097,386
081027500,1107.63608247,367.035500557,970
081027600,2617.04878049,660.638234334,246
081027700,1032.96463816,321.036192526,1216
081027800,1857.36080178,509.236459114,449
081027900,956.107364685,300.477384939,1127
081028000,2536.2345679,730.25623076,324
081028100,1031.77178796,310.311478135,1113
081028200,2167.55521472,540.291000552,326
081028300,775.506800286,240.442928611,1397
