BoroName,CT2010,BoroCT2010,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,BUFF_DIST
Brooklyn,036502,3036502,BK79,Ocean Hill,4007,6132.196174,1252061.645,0
Brooklyn,038800,3038800,BK25,Homecrest,4016,5947.056737,2130565.925,0
Brooklyn,039600,3039600,BK25,Homecrest,4016,5569.960507,1757819.546,0
Brooklyn,039700,3039700,BK78,Bushwick South,4002,6560.681694,1712820.273,0
Brooklyn,039900,3039900,BK78,Bushwick South,4002,6391.348879,1627809.303,0
Brooklyn,040100,3040100,BK78,Bushwick South,4002,5246.300165,1718318.934,0
Brooklyn,040400,3040400,BK29,Bensonhurst East,4017,7953.541649,1653839.791,0
Brooklyn,040600,3040600,BK29,Bensonhurst East,4017,5548.54636,1582378.666,0
Brooklyn,040800,3040800,BK29,Bensonhurst East,4017,5629.302552,1654268.744,0
Brooklyn,041300,3041300,BK78,Bushwick South,4002,5284.902881,1745183.024,0
Brooklyn,041401,3041401,BK25,Homecrest,4016,5189.96885,1454192.396,0
Brooklyn,041500,3041500,BK78,Bushwick South,4002,5326.724602,1750287.791,0
Brooklyn,041700,3041700,BK78,Bushwick South,4002,5025.01525,1519400.535,0
Brooklyn,041800,3041800,BK25,Homecrest,4016,6582.865969,1773170.32,0
Brooklyn,041900,3041900,BK78,Bushwick South,4002,5222.700541,1646861.699,0
Brooklyn,042000,3042000,BK25,Homecrest,4016,6966.654885,1820929.02,0
Brooklyn,042100,3042100,BK78,Bushwick South,4002,5252.771455,1651413.382,0
Brooklyn,042600,3042600,BK29,Bensonhurst East,4017,5548.580549,1829969.144,0
Brooklyn,042700,3042700,BK77,Bushwick North,4002,5232.288594,1595494.714,0
Brooklyn,042800,3042800,BK29,Bensonhurst East,4017,6669.645883,1773181.658,0
Brooklyn,042900,3042900,BK77,Bushwick North,4002,5385.170649,1809836.561,0
Brooklyn,043000,3043000,BK29,Bensonhurst East,4017,6283.851112,1721309.636,0
Brooklyn,043100,3043100,BK77,Bushwick North,4002,5386.799542,1810786.865,0
Brooklyn,043200,3043200,BK29,Bensonhurst East,4017,5480.481648,1593340.969,0
Brooklyn,043300,3043300,BK77,Bushwick North,4002,5387.201248,1810979.341,0
Brooklyn,043400,3043400,BK29,Bensonhurst East,4017,5543.211492,1509164.808,0
Brooklyn,043500,3043500,BK77,Bushwick North,4002,5385.051872,1810895.261,0
Brooklyn,043600,3043600,BK29,Bensonhurst East,4017,5828.14367,1480301.677,0
Brooklyn,043700,3043700,BK77,Bushwick North,4002,5385.659379,1809983.947,0
Brooklyn,043900,3043900,BK77,Bushwick North,4002,8162.503894,2152392.9,0
Brooklyn,044000,3044000,BK46,Ocean Parkway South,4014,6721.508464,2173529.656,0
Brooklyn,044100,3044100,BK77,Bushwick North,4002,5513.910688,1528572.533,0
Brooklyn,044200,3044200,BK46,Ocean Parkway South,4014,6808.86938,1969036.007,0
Brooklyn,044300,3044300,BK77,Bushwick North,4002,5552.173245,1805749.998,0
Brooklyn,044400,3044400,BK46,Ocean Parkway South,4014,6032.535557,1878090.012,0
Brooklyn,044600,3044600,BK88,Borough Park,4014,6573.68922,1519495.979,0
Brooklyn,045200,3045200,BK46,Ocean Parkway South,4014,7171.838506,2005613.083,0
Brooklyn,045400,3045400,BK46,Ocean Parkway South,4014,6358.012474,1423881.815,0
Brooklyn,045600,3045600,BK43,Midwood,4015,6877.053535,1653625.127,0
Brooklyn,045800,3045800,BK43,Midwood,4015,7163.624969,1928275.453,0
Brooklyn,046000,3046000,BK42,Flatbush,4015,9311.95976,2107798.136,0
Brooklyn,046400,3046400,BK88,Borough Park,4014,6253.545202,1762814.004,0
Brooklyn,047000,3047000,BK88,Borough Park,4014,7325.247742,1966226.07,0
Brooklyn,047200,3047200,BK88,Borough Park,4014,6789.740082,1850619.132,0
Brooklyn,047400,3047400,BK88,Borough Park,4014,6422.115317,1893042.176,0
Brooklyn,047600,3047600,BK88,Borough Park,4014,7553.3809,2236222.649,0
Brooklyn,048100,3048100,BK90,East Williamsburg,4001,5318.152564,1628352.493,0
Brooklyn,049500,3049500,BK90,East Williamsburg,4001,4737.978177,1389722.735,0
Brooklyn,049900,3049900,BK76,Greenpoint,4001,5002.945382,1532199.801,0
Brooklyn,050300,3050300,BK90,East Williamsburg,4001,5030.788213,1348755.419,0
Brooklyn,050500,3050500,BK90,East Williamsburg,4001,6040.682134,1823285.676,0
Brooklyn,050700,3050700,BK75,Bedford,4003,6142.615832,1877637.223,0
Brooklyn,050801,3050801,BK42,Flatbush,4015,3753.545581,842216.0606,0
Brooklyn,051001,3051001,BK42,Flatbush,4015,3652.726382,828176.4926,0
Brooklyn,051400,3051400,BK42,Flatbush,4015,6293.562267,1949161.821,0
Brooklyn,051601,3051601,BK42,Flatbush,4015,4556.009525,1247781.408,0
Brooklyn,051602,3051602,BK42,Flatbush,4015,4557.163159,979567.9559,0
Brooklyn,051700,3051700,BK73,North Side-South Side,4001,6225.178756,2020312.542,0
Brooklyn,051800,3051800,BK42,Flatbush,4015,6299.575326,2170111.34,0
Brooklyn,052000,3052000,BK42,Flatbush,4015,6972.937631,2056594.475,0
Brooklyn,052600,3052600,BK42,Flatbush,4015,6736.724751,1823527.064,0
Brooklyn,052800,3052800,BK42,Flatbush,4015,7275.902278,1891640.222,0
Brooklyn,053000,3053000,BK43,Midwood,4015,5637.114227,1861290.054,0
Brooklyn,053100,3053100,BK75,Bedford,4003,5569.477691,1741767.281,0
Brooklyn,053200,3053200,BK43,Midwood,4015,6887.340455,1876179.01,0
Brooklyn,053300,3053300,BK72,Williamsburg,4001,6035.102719,2078811.948,0
Brooklyn,053400,3053400,BK43,Midwood,4015,5639.951384,1866105.772,0
Brooklyn,053800,3053800,BK43,Midwood,4015,5802.058584,1770108.615,0
Brooklyn,054200,3054200,BK43,Midwood,4015,5962.813577,2036089.77,0
Brooklyn,054400,3054400,BK43,Midwood,4015,5970.775436,2045270.611,0
Brooklyn,055000,3055000,BK44,Madison,4016,5722.060885,1937232.771,0
Brooklyn,055200,3055200,BK44,Madison,4016,5520.894729,1805017.4,0
Brooklyn,055300,3055300,BK73,North Side-South Side,4001,5513.594409,1681865.797,0
Brooklyn,055800,3055800,BK44,Madison,4016,5599.344792,1847310.158,0
Brooklyn,056000,3056000,BK44,Madison,4016,5761.259478,1988439.594,0
Brooklyn,056200,3056200,BK44,Madison,4016,5590.084972,1838820.874,0
Brooklyn,056400,3056400,BK44,Madison,4016,6411.192904,1972387.642,0
Brooklyn,056500,3056500,BK76,Greenpoint,4001,6837.324594,2561007.918,0
Brooklyn,056600,3056600,BK44,Madison,4016,5577.840035,1846300.401,0
Brooklyn,056800,3056800,BK44,Madison,4016,5221.452802,1267976.136,0
Brooklyn,056900,3056900,BK76,Greenpoint,4001,5735.062634,1376243.887,0
Brooklyn,057000,3057000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,8653.416235,2824696.889,0
Brooklyn,057100,3057100,BK76,Greenpoint,4001,5516.210534,1892836.353,0
Brooklyn,057200,3057200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,6491.895195,2622725.166,0
Brooklyn,057300,3057300,BK76,Greenpoint,4001,5625.868599,1831149.523,0
Brooklyn,057400,3057400,BK44,Madison,4016,6539.238886,1713577.629,0
Brooklyn,057600,3057600,BK44,Madison,4016,5342.001098,1707334.544,0
Brooklyn,057800,3057800,BK44,Madison,4016,5522.413912,1853782.133,0
Brooklyn,058000,3058000,BK44,Madison,4016,5340.45621,1707766.255,0
Brooklyn,058600,3058600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,5442.139455,1759616.26,0
Brooklyn,059100,3059100,BK76,Greenpoint,4001,5916.284007,2060784.33,0
Brooklyn,059200,3059200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,8185.09612,2360097.749,0
Brooklyn,059300,3059300,BK76,Greenpoint,4001,6059.94116,2023694.836,0
Brooklyn,059401,3059401,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,9659.798155,4528015.907,0
Brooklyn,059402,3059402,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,8094.774044,3470556.205,0
Brooklyn,059600,3059600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,6850.705576,1863185.138,0
Brooklyn,060000,3060000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,9650.320534,4732242.741,0
Brooklyn,061200,3061200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,7177.851349,2131583.459,0
Brooklyn,063200,3063200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,5753.22714,1264075.703,0
Brooklyn,063600,3063600,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5230.945403,1230571.832,0
Brooklyn,063800,3063800,BK44,Madison,4016,8403.549886,1498401.084,0
Brooklyn,064000,3064000,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5734.951869,1651211.884,0
Brooklyn,064600,3064600,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5619.588955,1782721.283,0
Brooklyn,064800,3064800,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5217.264794,1631120.822,0
Brooklyn,065000,3065000,BK58,Flatlands,4009,5765.937559,1789145.951,0
Brooklyn,065200,3065200,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6302.37444,1875210.185,0
Brooklyn,065400,3065400,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6780.003081,1631231.599,0
Brooklyn,065600,3065600,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5236.660793,1653143.993,0
Brooklyn,065800,3065800,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6272.716224,1650702.203,0
Brooklyn,066000,3066000,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5223.596892,1639605.457,0
Brooklyn,067000,3067000,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6204.720557,2244629.286,0
Brooklyn,067200,3067200,BK58,Flatlands,4009,8351.807821,1876487.989,0
Brooklyn,067400,3067400,BK58,Flatlands,4009,7270.497882,2039940.895,0
Brooklyn,067600,3067600,BK58,Flatlands,4009,6353.535035,1672665.705,0
Brooklyn,067800,3067800,BK58,Flatlands,4009,5416.415398,1789096.28,0
Brooklyn,068000,3068000,BK58,Flatlands,4009,5527.063945,1817783.466,0
Brooklyn,068200,3068200,BK58,Flatlands,4009,6486.696529,2176848.589,0
Brooklyn,068600,3068600,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6255.090622,1592924.527,0
Brooklyn,068800,3068800,BK58,Flatlands,4009,5544.892821,1686416.938,0
Brooklyn,069000,3069000,BK58,Flatlands,4009,6663.143816,1861629.059,0
Brooklyn,069200,3069200,BK58,Flatlands,4009,6487.948554,1952887.719,0
Brooklyn,072800,3072800,BK58,Flatlands,4009,7568.728376,2282665.345,0
Brooklyn,073400,3073400,BK58,Flatlands,4009,5187.844559,1626697.941,0
Brooklyn,073600,3073600,BK58,Flatlands,4009,5936.261853,1922085.85,0
Brooklyn,073800,3073800,BK58,Flatlands,4009,5801.495222,1944417.126,0
Brooklyn,074000,3074000,BK58,Flatlands,4009,5614.879201,1747894.601,0
Brooklyn,074200,3074200,BK58,Flatlands,4009,5663.839853,1876115.545,0
Brooklyn,074400,3074400,BK58,Flatlands,4009,5612.220413,1844716.483,0
Brooklyn,074600,3074600,BK58,Flatlands,4009,7730.189302,2159993.828,0
Brooklyn,074800,3074800,BK43,Midwood,4015,5679.863624,1900351.998,0
Brooklyn,075000,3075000,BK43,Midwood,4015,5639.078726,1866699.15,0
Brooklyn,075200,3075200,BK43,Midwood,4015,5638.878715,1864085.121,0
Brooklyn,075400,3075400,BK43,Midwood,4015,5639.972181,1867167.796,0
Brooklyn,075600,3075600,BK43,Midwood,4015,5582.965047,1867819.331,0
Brooklyn,076000,3076000,BK43,Midwood,4015,6345.003304,1954536.395,0
Brooklyn,076200,3076200,BK43,Midwood,4015,5822.844403,2024074.617,0
Brooklyn,076400,3076400,BK42,Flatbush,4015,7034.140418,1740194.686,0
Brooklyn,076800,3076800,BK43,Midwood,4015,9001.209896,3265655.286,0
Brooklyn,077400,3077400,BK42,Flatbush,4015,7821.411124,1596705.158,0
Brooklyn,078400,3078400,BK91,East Flatbush-Farragut,4010,5509.694394,1801875.971,0
Brooklyn,079000,3079000,BK95,Erasmus,4010,5950.853444,1965032.156,0
Brooklyn,079200,3079200,BK95,Erasmus,4010,6106.756505,2332263.87,0
Brooklyn,079601,3079601,BK60,Prospect Lefferts Gardens-Wingate,4011,4382.684861,1188358.751,0
Brooklyn,080000,3080000,BK60,Prospect Lefferts Gardens-Wingate,4011,5625.230504,1869357.374,0
Brooklyn,080400,3080400,BK60,Prospect Lefferts Gardens-Wingate,4011,6685.941426,2042543.224,0
Brooklyn,080600,3080600,BK60,Prospect Lefferts Gardens-Wingate,4011,6017.656862,1790089.362,0
Brooklyn,081000,3081000,BK60,Prospect Lefferts Gardens-Wingate,4011,6573.868385,1748352.195,0
Brooklyn,081400,3081400,BK91,East Flatbush-Farragut,4010,5579.355924,1831958.591,0
Brooklyn,081800,3081800,BK95,Erasmus,4010,5542.998743,1699559.955,0
Brooklyn,082400,3082400,BK95,Erasmus,4010,6085.946919,2307258.416,0
Brooklyn,083200,3083200,BK91,East Flatbush-Farragut,4010,5511.624043,1566888.337,0
Brooklyn,083600,3083600,BK91,East Flatbush-Farragut,4010,6026.388951,2240975.535,0
