FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
56,56,65,3,Brooklyn,006500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,7861.136622,2685633.615,0,0,0,0,0,0,0,0,0,0,0
57,57,67,3,Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5236.047804,1680804.296,1,0,1,1,0,0,0,0,0,0,0
58,58,69,3,Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5563.971321,1927677.553,1,0,1,1,0,0,0,0,0,0,0
59,59,74,3,Brooklyn,007400,3007400,E,BK32,Sunset Park West,4012,4994.563886,1516613.031,1,0,1,0,1,0,1,0,0,0,0
60,60,76,3,Brooklyn,007600,3007600,E,BK32,Sunset Park West,4012,4980.047514,1510401.678,1,0,1,0,1,0,1,0,0,0,0
61,61,78,3,Brooklyn,007800,3007800,E,BK32,Sunset Park West,4012,4986.671595,1509791.99,0,0,0,0,0,0,0,0,0,0,0
62,62,80,3,Brooklyn,008000,3008000,E,BK32,Sunset Park West,4012,4989.723103,1506326.485,0,0,0,0,0,0,0,0,0,0,0
63,63,98,3,Brooklyn,009800,3009800,E,BK34,Sunset Park East,4012,5203.979585,1625498.652,1,0,1,0,1,0,1,0,0,0,0
64,64,101,3,Brooklyn,010100,3010100,E,BK32,Sunset Park West,4012,7585.52914,3393635.747,0,0,0,0,0,0,0,0,0,0,0
65,65,102,3,Brooklyn,010200,3010200,E,BK34,Sunset Park East,4012,5223.378481,1640687.839,1,0,1,0,1,0,1,0,0,0,0
66,66,104,3,Brooklyn,010400,3010400,E,BK34,Sunset Park East,4012,5221.791692,1639390.921,1,0,1,0,1,0,1,0,0,0,0
67,67,108,3,Brooklyn,010800,3010800,E,BK34,Sunset Park East,4012,5203.5166,1624849.988,1,0,1,0,1,0,1,0,0,0,0
