,lat,lon,tract
192,40.7991022566,-73.9497071276,"(u'1', u'018600')"
193,40.7980913248,-73.9720078835,"(u'1', u'018700')"
194,40.7975964008,-73.9372595721,"(u'1', u'018800')"
195,40.7973306159,-73.9642511784,"(u'1', u'018900')"
196,40.8019616726,-73.9476193458,"(u'1', u'019000')"
197,40.8006328302,-73.9701802858,"(u'1', u'019100')"
198,40.7991631873,-73.9307744792,"(u'1', u'019200')"
199,40.8005051063,-73.9619549752,"(u'1', u'019300')"
200,40.8004658674,-73.9351828051,"(u'1', u'019400')"
201,40.8031557633,-73.9683307474,"(u'1', u'019500')"
202,40.8028068957,-73.9385707905,"(u'1', u'019600')"
203,40.8053121417,-73.9593991885,"(u'1', u'019701')"
204,40.8021910593,-73.9579871551,"(u'1', u'019702')"
205,40.8042998192,-73.9423602364,"(u'1', u'019800')"
206,40.8057120312,-73.9665330264,"(u'1', u'019900')"
207,40.8057864868,-73.945233818,"(u'1', u'020000')"
208,40.8064357532,-73.9602049067,"(u'1', u'020101')"
209,40.805051273,-73.9566329604,"(u'1', u'020102')"
210,40.8086688733,-73.961560736,"(u'1', u'020300')"
211,40.8102495476,-73.9651228282,"(u'1', u'020500')"
212,40.808291309,-73.938783415,"(u'1', u'020600')"
213,40.8089755167,-73.9584604631,"(u'1', u'020701')"
214,40.8096485605,-73.9420077381,"(u'1', u'020800')"
215,40.8115579131,-73.9550035596,"(u'1', u'020901')"
216,40.813087407,-73.9356842823,"(u'1', u'021000')"
217,40.8143023851,-73.9606790974,"(u'1', u'021100')"
218,40.8137604099,-73.9389997289,"(u'1', u'021200')"
219,40.8145593504,-73.9531390517,"(u'1', u'021303')"
220,40.8177953784,-73.9362048184,"(u'1', u'021400')"
221,40.8135275734,-73.9494712064,"(u'1', u'021500')"
222,40.8006748184,-73.9543847584,"(u'1', u'021600')"
223,40.8179351903,-73.9497558776,"(u'1', u'021703')"
224,40.803222084,-73.9525242397,"(u'1', u'021800')"
225,40.8174103842,-73.957185082,"(u'1', u'021900')"
226,40.8057837021,-73.9506570672,"(u'1', u'022000')"
227,40.8186550435,-73.9461856686,"(u'1', u'022102')"
228,40.8083402094,-73.9487875194,"(u'1', u'022200')"
229,40.8210269925,-73.9548453214,"(u'1', u'022301')"
230,40.8202389814,-73.9574228583,"(u'1', u'022302')"
231,40.8111232035,-73.9469559267,"(u'1', u'022400')"
232,40.8238945134,-73.9543465379,"(u'1', u'022500')"
233,40.8134351129,-73.9448113907,"(u'1', u'022600')"
234,40.8229662919,-73.946462504,"(u'1', u'022700')"
235,40.8159297025,-73.9432456274,"(u'1', u'022800')"
